Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Stammkunde,Einkaufssumme,Elektrowerkzeuge,Eisenwaren,Handwerkzeuge,Sanitaermaterial,Schliesstechnik,Fliesen,Farben,Armaturen,Renovierung,Elektromaterial,Baustoffe,Holz,Bodenbelag,Leuchten,Aktionsware
w,18-30,nein,Partnerschaft,ja,Montag,10-12 Uhr,> 25 km,2000-<3200,1 bis 5,152,64,0,16,0,0,0,0,0,0,0,0,0,0,0,72
w,18-30,ja,ledig,ja,Mittwoch,10-12 Uhr,< 10 km,>4500,1 bis 5,979,0,4,10,0,72,246,0,0,195,0,342,0,0,0,184
w,18-30,nein,ledig,ja,Dienstag,<10 Uhr,> 25 km,1000-<2000,0,802,0,0,4,21,0,135,0,0,48,225,330,0,0,0,156
m,18-30,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,< 10 km,1000-<2000,0,204,0,6,45,0,48,0,0,0,18,0,180,0,0,0,0
m,41-50,nein,ledig,ja,Freitag,12-14 Uhr,> 25 km,1000-<2000,> 5,317,0,0,0,9,0,243,0,231,250,0,0,0,0,0,58
m,>60,ja,Partnerschaft,ja,Dienstag,14-17 Uhr,< 10 km,1000-<2000,> 5,279,0,1,24,0,0,0,0,0,0,0,210,0,0,0,44
m,18-30,nein,ledig,ja,Dienstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,326,82,27,28,0,54,0,0,0,22,63,0,26,0,0,128
w,18-30,ja,ledig,ja,Freitag,10-12 Uhr,< 10 km,<1000,1 bis 5,527,0,8,3,96,62,138,0,72,0,0,141,0,0,0,282
m,31-40,nein,Partnerschaft,ja,Samstag,>17 Uhr,10 - 25 km,1000-<2000,1 bis 5,725,0,10,12,0,0,99,0,0,60,82,150,69,0,0,234
w,41-50,ja,ledig,nein,Samstag,10-12 Uhr,< 10 km,2000-<3200,> 5,393,0,21,14,0,0,0,0,0,0,0,156,0,0,0,216
m,51-60,ja,ledig,ja,Freitag,14-17 Uhr,< 10 km,2000-<3200,> 5,270,0,0,12,74,0,0,0,261,96,0,0,0,0,0,59
m,18-30,nein,ledig,ja,Dienstag,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,109,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0
m,18-30,nein,ledig,ja,Samstag,<10 Uhr,< 10 km,2000-<3200,> 5,262,0,7,14,0,21,0,0,0,148,49,0,0,0,117,0
m,51-60,nein,ledig,ja,Samstag,14-17 Uhr,< 10 km,<1000,> 5,121,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0
m,31-40,nein,Partnerschaft,nein,Montag,>17 Uhr,10 - 25 km,3200-<4500,0,347,0,0,0,0,0,0,0,0,69,90,240,17,0,0,0
w,31-40,ja,ledig,nein,Freitag,14-17 Uhr,< 10 km,2000-<3200,0,330,0,0,0,37,0,0,0,0,64,117,168,8,0,30,0
m,>60,ja,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,2000-<3200,1 bis 5,26,0,0,0,0,0,0,0,0,74,26,0,0,0,99,0
m,18-30,nein,ledig,ja,Montag,10-12 Uhr,< 10 km,1000-<2000,> 5,73,0,12,22,0,0,0,0,0,0,61,0,0,0,0,0
m,>60,nein,Partnerschaft,ja,Dienstag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,165,0,15,30,0,57,0,0,134,0,0,16,0,0,0,0
w,>60,ja,ledig,ja,Samstag,10-12 Uhr,10 - 25 km,2000-<3200,> 5,454,140,8,0,0,100,0,0,0,0,0,306,0,0,0,0
m,18-30,nein,ledig,ja,Montag,>17 Uhr,> 25 km,3200-<4500,> 5,672,0,3,45,126,16,83,0,243,183,0,219,54,0,0,87
w,31-40,nein,ledig,ja,Samstag,10-12 Uhr,10 - 25 km,1000-<2000,1 bis 5,530,0,6,30,0,10,0,0,0,267,0,13,0,0,0,230
m,41-50,ja,Partnerschaft,nein,Samstag,10-12 Uhr,10 - 25 km,>4500,1 bis 5,361,159,0,0,42,0,0,0,0,100,46,0,114,0,11,0
m,41-50,ja,ledig,nein,Dienstag,12-14 Uhr,10 - 25 km,2000-<3200,> 5,420,0,18,0,33,0,0,0,0,0,0,272,0,0,9,0
w,18-30,ja,Partnerschaft,ja,Montag,>17 Uhr,10 - 25 km,>4500,> 5,101,0,4,0,34,0,118,0,315,0,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,nein,Montag,10-12 Uhr,10 - 25 km,2000-<3200,1 bis 5,292,0,12,0,6,0,79,0,231,0,0,0,0,0,0,256
m,41-50,ja,ledig,nein,Samstag,14-17 Uhr,10 - 25 km,>4500,1 bis 5,371,0,0,0,0,0,0,0,0,53,52,189,54,0,4,0
w,31-40,nein,Partnerschaft,ja,Mittwoch,10-12 Uhr,10 - 25 km,2000-<3200,> 5,137,34,4,13,30,15,144,0,243,69,0,0,0,0,0,0
